z,n,bindingEnergy(keV)
49,72,8463.8767
50,72,8487.8968
51,72,8472.3196
52,72,8473.2705
53,72,8450.2911
54,72,8443.5375
55,72,8411.5617
56,72,8395.9878
57,72,8356.0449
58,72,8333.2164
59,72,8286.1439
60,72,8256.8104
61,72,8204.2841
62,72,8167
63,72,8107
64,72,8064
65,72,7999
66,72,7950
40,73,8027
41,73,8097
42,73,8173
43,73,8223
44,73,8285.5625
45,73,8322.8539
46,73,8368.9594
47,73,8395.3281
48,73,8430.9972
49,73,8442.1079
50,73,8467.2313
51,73,8456.1517
52,73,8458.0361
53,73,8439.9379
54,73,8434.1066
55,73,8406.4953
56,73,8391.0811
57,73,8356.1919
58,73,8333.3969
59,73,8291.5377
60,73,8262.232
61,73,8213.4131
62,73,8177.627
63,73,8122
64,73,8080
65,73,8019
66,73,7971
67,73,7906
41,74,8061
42,74,8143
43,74,8195
44,74,8263
45,74,8303.3953
46,74,8357.0817
47,74,8382.3306
48,74,8424.2667
49,74,8437.9362
50,74,8467.3997
51,74,8458.1612
52,74,8463.2397
53,74,8445.482
54,74,8443.3008
55,74,8416.0465
56,74,8405.513
57,74,8370.3676
58,74,8352.3223
59,74,8310.2588
60,74,8285.5391
61,74,8236.7933
62,74,8205.9165
63,74,8150.5738
64,74,8112
65,74,8052
66,74,8008
67,74,7943
68,74,7893
41,75,8012
42,75,8096
43,75,8153
44,75,8220
45,75,8266
46,75,8320.8584
47,75,8352.7591
48,75,8395.3955
49,75,8414.3243
50,75,8445.5285
51,75,8440.3136
52,75,8446.109
53,75,8432.8309
54,75,8431.3904
55,75,8408.7848
56,75,8398.5511
57,75,8367.7559
58,75,8349.8301
59,75,8312.8817
60,75,8288.1536
61,75,8243.7207
62,75,8213.5527
63,75,8161.6211
64,75,8126
65,75,8068.6732
66,75,8027
67,75,7965
68,75,7917
69,75,7850
42,76,8067
43,76,8126
44,76,8199
45,76,8245.2397
46,76,8305.9755
47,76,8337.9707
48,76,8387.0179
49,76,8407.9365
50,76,8443.5227
51,76,8439.811
52,76,8448.7536
53,76,8435.9908
54,76,8437.7314
55,76,8415.0317
56,76,8409.3747
57,76,8378.8415
58,76,8365.7716
59,76,8328.9284
60,76,8308.5127
61,76,8263.6516
62,76,8237.9286
63,76,8187.2187
64,76,8154.9757
65,76,8097.4761
66,76,8061
67,76,7999
68,76,7956
69,76,7889
42,77,8019
43,77,8083
44,77,8156
45,77,8208
46,77,8270.0318
47,77,8308.8958
48,77,8357.6815
49,77,8384.6067
50,77,8420.5482
51,77,8420.7724
52,77,8430.4098
53,77,8421.1011
54,77,8423.7367
55,77,8405.5878
56,77,8400.2059
57,77,8374.4888
58,77,8361.9861
59,77,8330.0089
60,77,8309.5892
61,77,8268.3558
62,77,8243.0786
63,77,8197.733
64,77,8164.609
65,77,8111.508
66,77,8075.0527
67,77,8017.0977
68,77,7975
69,77,7914
43,78,8054
44,78,8132
45,78,8185
46,78,8252
47,78,8293.3151
48,78,8346.7393
49,78,8374.8212
50,78,8416.9749
51,78,8418.0598
52,78,8430.3251
53,78,8422.2977
54,78,8427.6229
55,78,8409.9786
56,78,8408.1731
57,78,8382.7972
58,78,8373.7624
59,78,8341.7074
60,78,8325.4946
61,78,8285.5473
62,78,8263.8211
63,78,8217.6853
64,78,8190.2569
65,78,8138.2176
66,78,8105.5902
67,78,8048.5792
68,78,8010.5127
69,78,7948.8178
70,78,7906
43,79,8011
44,79,8089
45,79,8148
46,79,8215
47,79,8261
48,79,8316.8971
49,79,8351.4361
50,79,8392.8161
51,79,8397.3641
52,79,8411.2339
53,79,8406.4628
54,79,8412.6477
55,79,8398.647
56,79,8397.5345
57,79,8376.0512
58,79,8367.2497
59,79,8339.2195
60,79,8323.6642
61,79,8289.0958
62,79,8265.846
63,79,8226.396
64,79,8198.3188
65,79,8151.2877
66,79,8116.8884
67,79,8063.2426
68,79,8026.476
69,79,7968.5011
70,79,7927
71,79,7866
44,80,8065
45,80,8124
46,80,8197
47,80,8244
48,80,8303.2367
49,80,8338.759
50,80,8386.817
51,80,8392.5525
52,80,8408.4859
53,80,8405.0993
54,80,8413.6994
55,80,8401.3393
56,80,8402.7566
57,80,8381.8807
58,80,8377.0408
59,80,8349.5208
60,80,8337.864
61,80,8303.9405
62,80,8285.9407
63,80,8245.8177
64,80,8221.9382
65,80,8178.5397
66,80,8146.1128
67,80,8094.0381
68,80,8059.6924
69,80,8004
70,80,7965
71,80,7904
44,81,8023
45,81,8087
46,81,8160
47,81,8211
48,81,8269.5311
49,81,8314.176
50,81,8362.5183
51,81,8372.3452
52,81,8389.0255
53,81,8389.0722
54,81,8398.4783
55,81,8389.7723
56,81,8391.8288
57,81,8375.0835
58,81,8370.4664
59,81,8346.5163
60,81,8335.5074
61,81,8306.6587
62,81,8288.1825
63,81,8254.1744
64,81,8228.9485
65,81,8187.1474
66,81,8156.768
67,81,8108.9797
68,81,8074.9558
69,81,8021
70,81,7983.7556
71,81,7926
72,81,7882
45,82,8060
46,82,8137
47,82,8188
48,82,8252.5868
49,82,8297.9544
50,82,8354.8726
51,82,8364.7302
52,82,8383.6442
53,82,8384.7609
54,82,8396.1889
55,82,8388.9581
56,82,8393.4222
57,82,8377.9987
58,82,8376.3045
59,82,8353.9852
60,82,8346.031
61,82,8317.7341
62,82,8303.68
63,82,8269.2744
64,82,8249.5072
65,82,8206.625
66,82,8180.943
67,82,8133.255
68,82,8102.1962
69,82,8050.0576
70,82,8015.4371
71,82,7959.0882
72,82,7918
73,82,7858
45,83,8010
46,83,8086
47,83,8142
48,83,8206.1204
49,83,8253.7162
50,83,8310.089
51,83,8325.9398
52,83,8345.7384
53,83,8351.3242
54,83,8364.2865
55,83,8360.1437
56,83,8367.0194
57,83,8355.0201
58,83,8355.3956
59,83,8336.3032
60,83,8330.4893
61,83,8305.2969
62,83,8293.0139
63,83,8261.9327
64,83,8243.3366
65,83,8204.3207
66,83,8179.0972
67,83,8134.8423
68,83,8104.8723
69,83,8056.4387
70,83,8022
71,83,7968
72,83,7929
73,83,7872
74,83,7828
46,84,8046
47,84,8102
48,84,8169.1421
49,84,8217
50,84,8275.1719
51,84,8291.9894
52,84,8319.4301
53,84,8326.0033
54,84,8344.6913
55,84,8342.3397
56,84,8353.15
57,84,8343.205
58,84,8347.07
59,84,8329.428
60,84,8326.9237
61,84,8302.6583
62,84,8293.8581
63,84,8263.5409
64,84,8248.3398
65,84,8209.8153
66,84,8189.1495
67,84,8145.5267
68,84,8119.3485
69,84,8071.2571
70,84,8039.9402
71,84,7987.4369
72,84,7952.6676
73,84,7896.0608
74,84,7855
75,84,7795
46,85,7993
47,85,8053
48,85,8121
49,85,8173
50,85,8230.6877
51,85,8252.2533
52,85,8280.2357
53,85,8292.445
54,85,8311.5904
55,85,8314.3227
56,85,8326.0774
57,85,8320.8263
58,85,8324.6765
59,85,8311.5411
60,85,8309.1883
61,85,8288.655
62,85,8280.5734
63,85,8253.8155
64,85,8239.4856
65,85,8206.3396
66,85,8184.6789
67,85,8144.9193
68,85,8118.8154
69,85,8074.209
70,85,8043.8234
71,85,7995.3752
72,85,7960
73,85,7907
74,85,7867
75,85,7810
76,85,7765
47,86,8013
48,86,8086
49,86,8136
50,86,8197
51,86,8218.4764
52,86,8252.5786
53,86,8265.61
54,86,8290.8875
55,86,8294.3554
56,86,8310.9718
57,86,8306.1271
58,86,8314.7612
59,86,8302.1285
60,86,8304.0927
61,86,8284.3712
62,86,8279.6326
63,86,8253.556
64,86,8242.6103
65,86,8208.8743
66,86,8192.9171
67,86,8153.6372
68,86,8132.3919
69,86,8088.376
70,86,8061.7107
71,86,8013.3128
72,86,7981.2764
73,86,7928.7258
74,86,7892.7893
75,86,7836.3292
76,86,7794
77,86,7734
48,87,8036
49,87,8091
50,87,8152
51,87,8178
52,87,8211.7716
53,87,8229.474
54,87,8255.3647
55,87,8264.8777
56,87,8281.9878
57,87,8281.4283
58,87,8289.8762
59,87,8280.325
60,87,8283.6036
61,87,8268.2283
62,87,8263.4683
63,87,8241.3481
64,87,8231.0446
65,87,8202.0072
66,87,8185.7514
67,87,8150.6825
68,87,8129.4444
69,87,8089.6032
70,87,8062.7551
71,87,8018.5685
72,87,7986.561
73,87,7938.2704
74,87,7901
75,87,7848
76,87,7807
77,87,7750
78,87,7703
49,88,8053
50,88,8118
51,88,8144
52,88,8183.3567
53,88,8202.2562
54,88,8233.1695
55,88,8243.6707
56,88,8265.4549
57,88,8266.0873
58,88,8278.5081
59,88,8270.54
60,88,8277.1778
61,88,8261.5277
62,88,8261.6235
63,88,8239.2998
64,88,8233.4042
65,88,8205.0504
66,88,8193.1305
67,88,8159.2055
68,88,8141.9084
69,88,8101.4285
70,88,8079.1999
71,88,8034.6009
72,88,8006.3791
73,88,7957.45
74,88,7923.8214
75,88,7870.8655
76,88,7833.308
77,88,7776
78,88,7733
50,89,8073
51,89,8103
52,89,8142
53,89,8165.2517
54,89,8196.8855
55,89,8211.8894
56,89,8234.7991
57,89,8239.9988
58,89,8252.5274
59,89,8249.5409
60,89,8255.4437
61,89,8243.8125
62,89,8243.9735
63,89,8226.5854
64,89,8220.4209
65,89,8196.6697
66,89,8184.357
67,89,8155.428
68,89,8136.3757
69,89,8101.1994
70,89,8078.0428
71,89,8038.3387
72,89,8009.1245
73,89,7964.3432
74,89,7930.3043
75,89,7881.0523
76,89,7843
77,89,7789
78,89,7746
79,89,7688
50,90,8038
51,90,8069
52,90,8113
53,90,8137
54,90,8172.8845
55,90,8188.7342
56,90,8215.5293
57,90,8221.5536
58,90,8240.3876
59,90,8238.304
60,90,8249.5789
61,90,8241.2723
62,90,8244.0645
63,90,8228.7011
64,90,8224.7996
65,90,8202.9173
66,90,8192.4366
67,90,8163.1373
68,90,8147.927
69,90,8112.7549
70,90,8092.5614
71,90,8052.7821
72,90,8027.1171
73,90,7981.8905
74,90,7951.4515
75,90,7901.5201
76,90,7866.3371
77,90,7812.8254
78,90,7773.6217
79,90,7716
80,90,7671
51,91,8027
52,91,8070
53,91,8098
54,91,8135.0877
55,91,8155.4365
56,91,8183.2405
57,91,8193.7165
58,91,8214.2294
59,91,8218.9316
60,91,8230.2741
61,91,8226.1293
62,91,8228.5373
63,91,8217.1006
64,91,8213.2541
65,91,8194.6415
66,91,8184.6287
67,91,8158.4709
68,91,8142.7742
69,91,8110.8124
70,91,8090.3861
71,91,8054.5596
72,91,8028.0072
73,91,7986.9978
74,91,7955.9704
75,91,7909.6392
76,91,7873.9557
77,91,7823.8509
78,91,7784
79,91,7730
80,91,7686
52,92,8040
53,92,8069
54,92,8110.4154
55,92,8131.801
56,92,8164.1118
57,92,8176.1915
58,92,8201.123
59,92,8207.8824
60,92,8224.0078
61,92,8221.1536
62,92,8226.8379
63,92,8216.676
64,92,8215.3253
65,92,8198.1416
66,92,8190.1298
67,92,8165.1066
68,92,8151.7217
69,92,8120.4906
70,92,8102.5333
71,92,8066.6848
72,92,8043.8142
73,92,8003.0547
74,92,7974.8951
75,92,7929
76,92,7895.9408
77,92,7845.5944
78,92,7808.2365
79,92,7754.1069
80,92,7713.6064
52,93,7998
53,93,8031
54,93,8072
55,93,8097.5469
56,93,8131.8495
57,93,8149.4339
58,93,8176.2779
59,93,8187.1049
60,93,8204.5832
61,93,8204.717
62,93,8211.2258
63,93,8204.6192
64,93,8203.5072
65,93,8189.1556
66,93,8181.5842
67,93,8158.6004
68,93,8145.8628
69,93,8117.5868
70,93,8099.1069
71,93,8065.8043
72,93,8042.8728
73,93,8004.9714
74,93,7976.7045
75,93,7935.1208
76,93,7901.2862
77,93,7853
78,93,7816.6017
79,93,7766.1587
80,93,7725
53,94,8001
54,94,8047
55,94,8073
56,94,8111.8405
57,94,8129.0436
58,94,8161
59,94,8172.0371
60,94,8192.3491
61,94,8195.2977
62,94,8205.0054
63,94,8199.7975
64,94,8201.8229
65,94,8188.8025
66,94,8184.0526
67,94,8163.1134
68,94,8152.3959
69,94,8124.9774
70,94,8109.4149
71,94,8076.746
72,94,8056.4386
73,94,8018.8614
74,94,7993.9327
75,94,7951.3963
76,94,7921.1258
77,94,7873.4895
78,94,7839.246
79,94,7788.2348
80,94,7749.7851
54,95,8009
55,95,8039
56,95,8079
57,95,8102
58,95,8134
59,95,8147.2994
60,95,8170.305
61,95,8176.7263
62,95,8187.0642
63,95,8185.132
64,95,8187.6177
65,95,8177.4676
66,95,8173.3093
67,95,8155.4126
68,95,8144.7403
69,95,8119.6534
70,95,8104.8399
71,95,8074.1756
72,95,8054.185
73,95,8019.4287
74,95,7994.5381
75,95,7955.012
76,95,7924.1769
77,95,7880.2637
78,95,7845.3856
79,95,7797
80,95,7759.2134
81,95,7707.9383
54,96,7983
55,96,8013
56,96,8057
57,96,8081
58,96,8116
59,96,8131.0398
60,96,8156.3265
61,96,8164.1458
62,96,8177.3075
63,96,8176.6987
64,96,8183.0171
65,96,8174.4809
66,96,8173.4555
67,96,8156.967
68,96,8149.0191
69,96,8125.5489
70,96,8112.4591
71,96,8083.1722
72,96,8065.5536
73,96,8030.9577
74,96,8008.9482
75,96,7969.4131
76,96,7942.1626
77,96,7898.068
78,96,7866.1143
79,96,7817.5939
80,96,7782.664
81,96,7732.1655
82,96,7690.8359
55,97,7980
56,97,8023
57,97,8051
58,97,8087
59,97,8105.2337
60,97,8132.1671
61,97,8143.3622
62,97,8157.4963
63,97,8160.103
64,97,8167.1934
65,97,8164.0773
66,97,8161.784
67,97,8147.9234
68,97,8139.9348
69,97,8118.9357
70,97,8106.202
71,97,8080.4026
72,97,8061.7791
73,97,8030.2965
74,97,8008.1158
75,97,7971.846
76,97,7944.0341
77,97,7902.0377
78,97,7869.5216
79,97,7825.3837
80,97,7789.8947
81,97,7741
82,97,7701.463
56,98,8001
57,98,8028
58,98,8068
59,98,8085.817
60,98,8114.9529
61,98,8126.8601
62,98,8144.6159
63,98,8148.981
64,98,8159.0373
65,98,8155.6322
66,98,8158.7129
67,98,8146.9591
68,98,8141.9479
69,98,8122.5826
70,98,8111.887
71,98,8086.3233
72,98,8070.8762
73,98,8039.7914
74,98,8020.1757
75,98,7983.9068
76,98,7959.4618
77,98,7917.9112
78,98,7888.9934
79,98,7843.8623
80,98,7811.3607
81,98,7763.4942
82,98,7725.6993
57,99,7997
58,99,8037
59,99,8059
60,99,8088.8224
61,99,8103.6398
62,99,8122.0418
63,99,8129.5593
64,99,8140.756
65,99,8139.9304
66,99,8143.9083
67,99,8135.4933
68,99,8131.7352
69,99,8114.9516
70,99,8104.5206
71,99,8081.6686
72,99,8066.0687
73,99,8037.7056
74,99,8018.3337
75,99,7985.0944
76,99,7960.7294
77,99,7921.5522
78,99,7892.4896
79,99,7849.3946
80,99,7816.2631
81,99,7771.431
82,99,7734.0704
57,100,7972
58,100,8015
59,100,8037
60,100,8069.9662
61,100,8085.9977
62,100,8107.5745
63,100,8116.0172
64,100,8129.9978
65,100,8130.3259
66,100,8137.2793
67,100,8130.3732
68,100,8129.5897
69,100,8114.4702
70,100,8106.6101
71,100,8084.6621
72,100,8071.7439
73,100,8044.065
74,100,8027.2572
75,100,7994.8168
76,100,7972.8681
77,100,7934.6328
78,100,7908.253
79,100,7865.6374
80,100,7836.1111
81,100,7791.9183
82,100,7756.3296
58,101,7983
59,101,8009
60,101,8042
61,101,8061
62,101,8084.1653
63,101,8095.3686
64,101,8110.4428
65,101,8113.223
66,101,8120.8782
67,101,8116.8061
68,101,8117.0078
69,101,8105.5144
70,101,8097.8826
71,101,8078.2334
72,101,8066.0164
73,101,8040.4528
74,101,8024.113
75,101,7993.9707
76,101,7972.4371
77,101,7936.563
78,101,7910.6759
79,101,7870.3194
80,101,7839.6792
81,101,7796.3571
82,101,7762.179
83,101,7712
59,102,7986
60,102,8022
61,102,8042
62,102,8067.7803
63,102,8080.0529
64,102,8097.226
65,102,8101.441
66,102,8112.5293
67,102,8109.0622
68,102,8111.9529
69,102,8101.8931
70,102,8097.4295
71,102,8079.0312
72,102,8068.5341
73,102,8044.4456
74,102,8030.1131
75,102,8001.2229
76,102,7981.9128
77,102,7947.5248
78,102,7923.5781
79,102,7883.8359
80,102,7856.9726
81,102,7815.6741
82,102,7782.7264
83,102,7732
84,102,7695.9488
60,103,7992
61,103,8014
62,103,8041
63,103,8056
64,103,8075.5428
65,103,8082.798
66,103,8094.7566
67,103,8093.7902
68,103,8097.7404
69,103,8091.0367
70,103,8087.4276
71,103,8071.454
72,103,8060.7625
73,103,8038.6706
74,103,8025.0359
75,103,7998.1576
76,103,7979.4844
77,103,7947.6337
78,103,7924.1271
79,103,7887.2442
80,103,7859.3885
81,103,7818.6727
82,103,7786.933
83,103,7739.1175
84,103,7704.7889
61,104,7992
62,104,8023
63,104,8038
64,104,8060
65,104,8069
66,104,8084
67,104,8083.6021
68,104,8090.4052
69,104,8084.4633
70,104,8083.8481
71,104,8069.1412
72,104,8061.3604
73,104,8040.8289
74,104,8029.2584
75,104,8003.7666
76,104,7987.4171
77,104,7956.5242
78,104,7934.7541
79,104,7898.5644
80,104,7874.3454
81,104,7835.5756
82,104,7805.342
83,104,7758.2083
84,104,7724.6544
62,105,7992
63,105,8012
64,105,8035
65,105,8047
66,105,8062
67,105,8066
68,105,8074
69,105,8070.6432
70,105,8070.9253
71,105,8059.0209
72,105,8051.8365
73,105,8035
74,105,8023.2821
75,105,7999.9922
76,105,7983.4263
77,105,7954.8948
78,105,7933.3406
79,105,7900.1947
80,105,7874.5391
81,105,7837.5161
82,105,7808.401
83,105,7764.1904
84,105,7731.1321
62,106,7971
63,106,7991
64,106,8017
65,106,8030
66,106,8049
67,106,8054
68,106,8064
69,106,8061.7673
70,106,8064.0853
71,106,8053.4495
72,106,8049.4438
73,106,8033.5869
74,106,8025.4434
75,106,8004.1434
76,106,7989.7287
77,106,7961.8176
78,106,7942.5649
79,106,7909.441
80,106,7888.2605
81,106,7852.465
82,106,7824.8211
83,106,7780.9999
84,106,7749.4526
85,106,7702.9233
63,107,7963
64,107,7990
65,107,8006
66,107,8026
67,107,8034
68,107,8045
69,107,8045.1214
70,107,8049.9741
71,107,8042.0554
72,107,8038.5474
73,107,8025.8864
74,107,8017.9494
75,107,7998.6264
76,107,7985.0087
77,107,7959.1992
78,107,7939.7779
79,107,7909.5409
80,107,7886.9905
81,107,7853.0537
82,107,7826.2999
83,107,7785.3239
84,107,7753.7871
85,107,7709.7283
86,107,7675.853
64,108,7972
65,108,7988
66,108,8011
67,108,8019
68,108,8034
69,108,8035
70,108,8042.7386
71,108,8035.0744
72,108,8034.9319
73,108,8023.405
74,108,8018.3096
75,108,8001.0101
76,108,7988.6778
77,108,7963.7226
78,108,7946.8094
79,108,7917.4323
80,108,7899.034
81,108,7866.2704
82,108,7841.1294
83,108,7800.6613
84,108,7771.0542
85,108,7727.1099
86,108,7694.9961
65,109,7963
66,109,7986
67,109,7997
68,109,8013
69,109,8017
70,109,8026
71,109,8022.0394
72,109,8022.003
73,109,8012.6332
74,109,8008.3234
75,109,7992.7517
76,109,7981.3047
77,109,7958.0473
78,109,7941.1699
79,109,7914.7537
80,109,7896.9192
81,109,7866.0345
82,109,7841.6782
83,109,7803.6084
84,109,7773.951
85,109,7732.2304
86,109,7700.3841
66,110,7969
67,110,7980
68,110,7999
69,110,8004
70,110,8016
71,110,8011.9301
72,110,8014.8381
73,110,8006.74
74,110,8005.0777
75,110,7991.0101
76,110,7982.8324
77,110,7960.6692
78,110,7947.9027
79,110,7921.9876
80,110,7907.0174
81,110,7877.1445
82,110,7854.6482
83,110,7817.1718
84,110,7789.2947
85,110,7748.0914
86,110,7717.966
87,110,7673.764
67,111,7957
68,111,7976
69,111,7983
70,111,7996
71,111,7996
72,111,8000.0315
73,111,7993.7535
74,111,7992.9083
75,111,7981.2713
76,111,7973.7814
77,111,7954.8512
78,111,7941.4045
79,111,7918.8345
80,111,7903.8002
81,111,7876.0167
82,111,7854.0994
83,111,7819.1955
84,111,7791.3155
85,111,7752.0001
86,111,7722.119
87,111,7679.1873
68,112,7960
69,112,7969
70,112,7984
71,112,7984.8125
72,112,7990.7228
73,112,7986.3615
74,112,7988.6026
75,112,7977.9519
76,112,7973.8656
77,112,7956.0214
78,112,7946.4941
79,112,7924.6819
80,112,7912.0666
81,112,7885.3445
82,112,7865.4181
83,112,7830.7579
84,112,7804.7445
85,112,7766.0174
86,112,7737.7245
87,112,7695.2599
69,113,7948
70,113,7963
71,113,7967
72,113,7973.9711
73,113,7971.8357
74,113,7975.1168
75,113,7966.7481
76,113,7963.0029
77,113,7947.7017
78,113,7938.7279
79,113,7920.1033
80,113,7907.973
81,113,7883.5211
82,113,7864.0647
83,113,7831.9009
84,113,7805.7136
85,113,7769.3446
86,113,7741.0568
87,113,7700.3292
88,113,7669.4108
70,114,7951
71,114,7955
72,114,7964.3032
73,114,7963.2123
74,114,7969.0532
75,114,7961.8105
76,114,7962.1047
77,114,7948.1144
78,114,7942.4923
79,114,7924.1648
80,114,7914.5974
81,114,7890.7293
82,114,7873.3374
83,114,7841.6348
84,114,7817.5611
85,114,7781.4883
86,114,7754.9111
87,114,7714.8367
88,114,7685.5684
70,115,7929
71,115,7936
72,115,7947
73,115,7948
74,115,7954
75,115,7949.7759
76,115,7950.5687
77,115,7938.9999
78,115,7933.7875
79,115,7918.7744
80,115,7909.398
81,115,7888.29
82,115,7871.2822
83,115,7841.2123
84,115,7817.6582
85,115,7783.7601
86,115,7757.0174
87,115,7719.0125
88,115,7689.8015
71,116,7923
72,116,7936
73,116,7938
74,116,7947.5031
75,116,7943.9588
76,116,7948.526
77,116,7938.1346
78,116,7935.942
79,116,7921.3778
80,116,7914.37
81,116,7893.5725
82,116,7878.9695
83,116,7849.5232
84,116,7827.4407
85,116,7794.1536
86,116,7769.3018
87,116,7731.7092
88,116,7704.1238
89,116,7662.8519
71,117,7903
72,117,7917
73,117,7922
74,117,7931.4359
75,117,7930.2389
76,117,7936.2716
77,117,7928.4885
78,117,7926.553
79,117,7914.8553
80,117,7908.6402
81,117,7890.3011
82,117,7875.7366
83,117,7848.4969
84,117,7826.5619
85,117,7794.5637
86,117,7770.3437
87,117,7734.6931
88,117,7707.1698
89,117,7667.8538
72,118,7905
73,118,7911
74,118,7924
75,118,7923.9378
76,118,7932.0232
77,118,7924.916
78,118,7926.5297
79,118,7915.6548
80,118,7911.5532
81,118,7893.8773
82,118,7881.8101
83,118,7854.8713
84,118,7834.8053
85,118,7803.6487
86,118,7780.5743
87,118,7745.687
88,118,7719.8028
89,118,7681.1001
90,118,7652.5716
73,119,7894
74,119,7907
75,119,7909
76,119,7917.7449
77,119,7914.1487
78,119,7915.9714
79,119,7908.5675
80,119,7905.2794
81,119,7889.7037
82,119,7877.8782
83,119,7852.5857
84,119,7832.8632
85,119,7803.5522
86,119,7780.7226
87,119,7746.9621
88,119,7721.7503
89,119,7684.8289
90,119,7656
73,120,7883
74,120,7899
75,120,7901
76,120,7912.2301
77,120,7909.0003
78,120,7914.1512
79,120,7906.9379
80,120,7905.8956
81,120,7891.2717
82,120,7882.1505
83,120,7857.4762
84,120,7839.0823
85,120,7810.2694
86,120,7789.0417
87,120,7756.2689
88,120,7732.0177
89,120,7695.8455
90,120,7669.0764
91,120,7629.3948
73,121,7865
74,121,7881
75,121,7886
76,121,7897
77,121,7897
78,121,7902.3011
79,121,7898.4915
80,121,7897.5607
81,121,7886.2206
82,121,7877.397
83,121,7854.2157
84,121,7836.2168
85,121,7808.8904
86,121,7787.9987
87,121,7756.8985
88,121,7733.0177
89,121,7698.0182
90,121,7671.8506
91,121,7633.6289
74,122,7872
75,122,7877
76,122,7890
77,122,7891.2066
78,122,7899.1986
79,122,7895.1752
80,122,7896.8505
81,122,7886.053
82,122,7879.9326
83,122,7857.3218
84,122,7840.5973
85,122,7813.9653
86,122,7794.2678
87,122,7763.7485
88,122,7741.3687
89,122,7707.468
90,122,7682.0628
91,122,7644.8027
74,123,7853
75,123,7861
76,123,7874
77,123,7878
78,123,7885.8337
79,123,7885.91
80,123,7887.4828
81,123,7880.0238
82,123,7874.3313
83,123,7853.3249
84,123,7836.6734
85,123,7811.5604
86,123,7792.1755
87,123,7763.1243
88,123,7741.0887
89,123,7708.4479
90,123,7683.847
91,123,7647.7037
92,123,7620.7821
75,124,7850
76,124,7867
77,124,7870
78,124,7881.5609
79,124,7880.865
80,124,7885.5455
81,124,7878.3946
82,124,7875.362
83,124,7854.5053
84,124,7839.3568
85,124,7814.7835
86,124,7796.6653
87,124,7768.3613
88,124,7747.5078
89,124,7715.5908
90,124,7692.3173
91,124,7657.3733
92,124,7631.3072
76,125,7849
77,125,7855
78,125,7867
79,125,7868
80,125,7874.7325
81,125,7871.7219
82,125,7869.8664
83,125,7849.8534
84,125,7835.1882
85,125,7811.6638
86,125,7793.9412
87,125,7766.8455
88,125,7746.4726
89,125,7715.8874
90,125,7693.0266
91,125,7659.2006
92,125,7634
76,126,7839
77,126,7845
78,126,7859
79,126,7860
80,126,7869.1723
81,126,7866.7979
82,126,7867.453
83,126,7847.9869
84,126,7834.3462
85,126,7811.3545
86,126,7794.7963
87,126,7768.4543
88,126,7749.1719
89,126,7719.4137
90,126,7697.6617
91,126,7664.6438
92,126,7640.7191
93,126,7604.6732
76,127,7814
77,127,7823
78,127,7836
79,127,7840
80,127,7848.6112
81,127,7847.1835
82,127,7848.6488
83,127,7832.5424
84,127,7818.7842
85,127,7798.34
86,127,7782.1824
87,127,7757.7393
88,127,7739.3249
89,127,7711.2319
90,127,7690.5945
91,127,7659.1935
92,127,7636.2867
93,127,7602.0758
94,127,7576
77,128,7805
78,128,7820
79,128,7824
80,128,7834.1914
81,128,7833.3979
82,128,7835.9656
83,128,7819.7745
84,128,7810.2438
85,128,7790.0036
86,128,7777.1023
87,128,7753.2607
88,128,7737.3458
89,128,7710.3448
90,128,7691.6026
91,128,7661.3783
92,128,7640
93,128,7607
94,128,7582
95,128,7547
78,129,7797
79,129,7803
80,129,7813
81,129,7813.589
82,129,7817.0079
83,129,7803.314
84,129,7794.024
85,129,7776.3632
86,129,7763.8164
87,129,7742.4513
88,129,7726.9122
89,129,7702.145
90,129,7683.7655
91,129,7655.5364
92,129,7634.6849
93,129,7602.7013
94,129,7580
95,129,7546
78,130,7780
79,130,7786
80,130,7799
81,130,7799.7915
82,130,7804.3203
83,130,7791.0217
84,130,7785.1163
85,130,7767.8627
86,130,7758.6553
87,130,7737.775
88,130,7725.0241
89,130,7700.5489
90,130,7684.4964
91,130,7656.9809
92,130,7637.7651
93,130,7607.5654
94,130,7586
95,130,7553
79,131,7764
80,131,7777
81,131,7780
82,131,7785.1732
83,131,7773.4955
84,131,7768.1768
85,131,7753.0024
86,131,7744.4037
87,131,7726.7143
88,131,7714.056
89,131,7692.3515
90,131,7676.064
91,131,7651.2373
92,131,7631.7611
93,131,7603.5032
94,131,7583
95,131,7552
80,132,7762
81,132,7765.4311
82,132,7772.3955
83,132,7761.7177
84,132,7758.8205
85,132,7744.6172
86,132,7738.7527
87,132,7721.1759
88,132,7711.6879
89,132,7690.5039
90,132,7676.6592
91,132,7651.8957
92,132,7635.0742
93,132,7607.4231
94,132,7588
95,132,7558
80,133,7739
81,133,7745
82,133,7752.7381
83,133,7743.4996
84,133,7741.3614
85,133,7729.1175
86,133,7723.7784
87,133,7709.743
88,133,7701.1352
89,133,7682.8015
90,133,7668.6426
91,133,7646.9612
92,133,7629.7717
93,133,7604.1714
94,133,7585
95,133,7557
80,134,7724
81,134,7730
82,134,7740
83,134,7731.8491
84,134,7731.53
85,134,7720.197
86,134,7717.2552
87,134,7703.2572
88,134,7696.6931
89,134,7679.1479
90,134,7667.7162
91,134,7646.6504
92,134,7631.9166
93,134,7607.2771
94,134,7590.4039
95,134,7562.5697
80,135,7701
81,135,7709
82,135,7719
