z,n,bindingEnergy(keV)
28,23,7870
29,23,7671
10,24,6287
11,24,6745
12,24,7244.4202
13,24,7531.316
14,24,7892.8297
15,24,8097.9701
16,24,8329.3255
17,24,8412.9593
18,24,8555.6141
19,24,8576.2204
20,24,8658.1769
21,24,8618.941
22,24,8656.4623
23,24,8582.2348
24,24,8572.2553
25,24,8439.915
26,24,8354.0268
27,24,8193.2549
28,24,8083.8977
29,24,7891
30,24,7742
11,25,6557
12,25,7055.1115
13,25,7370
14,25,7730.9793
15,25,7981.4177
16,25,8229.6358
17,25,8345.8864
18,25,8488.2382
19,25,8546.7023
20,25,8630.5467
21,25,8622.0215
22,25,8661.2325
23,25,8623.0686
24,25,8613.2777
25,25,8532.6823
26,25,8460.4977
27,25,8325.5606
28,25,8217.0749
29,25,8045
30,25,7904
31,25,7707
11,26,6403
12,26,6928
13,26,7260
14,26,7655.8247
15,26,7906.5513
16,26,8193.2275
17,26,8323.8672
18,26,8493.8411
19,26,8554.6747
20,26,8668.9848
21,26,8665.0958
22,26,8723.0122
23,26,8682.9135
24,26,8701.0188
25,26,8633.7602
26,26,8609.6079
27,26,8477.6578
28,26,8393.0328
29,26,8233.997
30,26,8106
31,26,7916
32,26,7770
11,27,6216
12,27,6734
13,27,7097
14,27,7482
15,27,7765.9122
16,27,8063.8276
17,27,8234.4788
18,27,8419.9526
19,27,8518.0428
20,27,8639.3548
21,27,8656.2097
22,27,8711.1625
23,27,8695.9032
24,27,8711.9923
25,27,8670.4087
26,27,8648.7985
27,27,8569.2199
28,27,8497.3225
29,27,8355.9907
30,27,8231
31,27,8059
32,27,7924
33,27,7735
11,28,6056
12,28,6598
13,28,6980
14,28,7410
15,28,7681
16,28,7996.0154
17,28,8181.5991
18,28,8412.3835
19,28,8514.8795
20,28,8666.6916
21,28,8686.2805
22,28,8755.7227
23,28,8742.0852
24,28,8775.9946
25,28,8734.1798
26,28,8736.3846
27,28,8669.6204
28,28,8642.7811
29,28,8503.2646
30,28,8395.9467
31,28,8232
32,28,8113
33,28,7930
12,29,6425
13,29,6829
14,29,7251
15,29,7552
16,29,7867
17,29,8080.7757
18,29,8311.425
19,29,8434.2324
20,29,8594.85
21,29,8633.4747
22,29,8708.9912
23,29,8714.569
24,29,8760.2103
25,29,8737.9768
26,29,8746.5981
27,29,8694.8386
28,29,8670.9364
29,29,8570.9696
30,29,8473.7802
31,29,8327
32,29,8215
33,29,8049
34,29,7917
13,30,6712
14,30,7156
15,30,7456
16,30,7785
17,30,7992
18,30,8243.6656
19,30,8372.2753
20,30,8550.1639
21,30,8597.2213
22,30,8691.8193
23,30,8710.1425
24,30,8777.9672
25,30,8765.0247
26,30,8790.3563
27,30,8741.8845
28,30,8732.0621
29,30,8642.0027
30,30,8583.0524
31,30,8446.4313
32,30,8347
33,30,8193
34,30,8075
35,30,7904
14,31,7004
15,31,7320
16,31,7652
17,31,7883
18,31,8132
19,31,8288.5833
20,31,8476.9135
21,31,8534.6695
22,31,8631.1256
23,31,8662.1382
24,31,8731.9362
25,31,8738.3358
26,31,8770.2829
27,31,8738.9719
28,31,8736.5912
29,31,8665.6047
30,31,8610.3098
31,31,8518.6449
32,31,8418.7167
33,31,8286
34,31,8170
35,31,8014
36,31,7883
15,32,7209
16,32,7552
17,32,7785
18,32,8054
19,32,8221.335
20,32,8429.3821
21,32,8492.8325
22,32,8599.6917
23,32,8637.3391
24,32,8723.2609
25,32,8736.7146
26,32,8792.2534
27,32,8768.0379
28,32,8780.7769
29,32,8715.5148
30,32,8679.3451
31,32,8583.9267
32,32,8528.8243
33,32,8396.2351
34,32,8300
35,32,8148
36,32,8034
16,33,7400
17,33,7651
18,33,7922
19,33,8115.0303
20,33,8330.5778
21,33,8404.8115
22,33,8518.9696
23,33,8574.7006
24,33,8663.3998
25,33,8696.6438
26,33,8754.7746
27,33,8746.7692
28,33,8765.0281
29,33,8718.0839
30,33,8686.2866
31,33,8611.6317
32,33,8555.0584
33,33,8468.4034
34,33,8369.5344
35,33,8239
36,33,8129
17,34,7530
18,34,7827
19,34,8022.8488
20,34,8247.4967
21,34,8333.3694
22,34,8467.9495
23,34,8535.1967
24,34,8643.9987
25,34,8680.9224
26,34,8755.8539
27,34,8756.151
28,34,8794.5555
29,34,8752.1404
30,34,8735.9057
31,34,8662.1601
32,34,8625.4383
33,34,8530.5685
34,34,8477.0482
