z,n,bindingEnergy(keV),xx,yy,zz
25,20,7747.0,20,25,0.11911409280434926
26,20,7603.0,20,26,0.13548785950580455
27,20,7396.0,20,27,0.15902514913914645
28,20,7236.0,20,28,0.17721822325187442
9,21,6205.0,21,9,0.29444984456576573
10,21,6813.0902,21,10,0.22530590659186822
11,21,7219.8815,21,11,0.179051004908662
12,21,7636.4382,21,12,0.1316857116883282
13,21,7860.3506,21,13,0.10622536863858556
14,21,8169.5644,21,14,0.07106568376309641
15,21,8307.8692,21,15,0.05533949953468387
16,21,8459.9363,21,16,0.03804844940713614
17,21,8505.4817,21,17,0.03286963167154955
18,21,8562.5988,21,18,0.026375033962773964
19,21,8538.0907,21,19,0.02916176946066229
20,21,8546.7075,21,20,0.02818198145432138
21,21,8444.9303,21,21,0.039754732345483546
22,21,8352.8054,21,22,0.05022995192878155
23,21,8203.4567,21,23,0.06721190172715374
24,21,8087.7286,21,24,0.08037096360356133
25,21,7916.0805,21,25,0.09988850488236733
26,21,7790.0,21,26,0.11422470413655361
27,21,7595.0,21,27,0.1363975132114409
28,21,7450.0,21,28,0.15288498662610073
9,22,6011.0,22,9,0.31650894692744846
10,22,6671.0,22,10,0.2414625162124453
11,22,7089.9262,22,11,0.19382779493517333
12,22,7550.3919,22,12,0.1414697536447409
13,22,7787.1243,22,13,0.11455169053171588
14,22,8112.5199,22,14,0.07755202636449332
15,22,8267.5561,22,15,0.059923369634770074
16,22,8448.7829,22,16,0.039316665862191735
17,22,8494.4032,22,17,0.03412933149378605
18,22,8595.2594,22,18,0.022661304485485312
19,22,8576.0731,22,19,0.02484291559704188
20,22,8616.5646,22,20,0.020238760219319807
21,22,8530.8265,22,21,0.02998775776672291
22,22,8533.5215,22,22,0.029681318174636484
23,22,8380.0394,22,23,0.0471332633013688
24,22,8303.8233,22,24,0.05579954552563804
25,22,8135.3117,22,25,0.07496044569847793
26,22,8022.7254,22,26,0.0877622638233394
27,22,7840.0,22,27,0.10853936847632606
28,22,7702.0,22,28,0.12423089489855399
10,23,6436.0,23,10,0.2681835938155146
11,23,6886.4377,23,11,0.2169658034450973
12,23,7356.2338,23,12,0.16354683303778117
13,23,7623.5154,23,13,0.13315512080172787
14,23,7952.9033,23,14,0.09570150532337884
15,23,8147.2749,23,15,0.07360014954706917
16,23,8344.2698,23,16,0.051200506950010216
17,23,8427.766,23,17,0.04170642848294048
18,23,8534.3733,23,18,0.029584462796329092
19,23,8551.2571,23,19,0.027664661391925915
20,23,8600.6653,23,20,0.022046617364572918
21,23,8557.3805,23,21,0.026968389704289275
22,23,8555.7321,23,22,0.02715582385033566
23,23,8486.1423,23,23,0.035068651280897645
24,23,8407.2067,23,24,0.04404415891172664
25,23,8274.1924,23,25,0.0591687777739307
26,23,8161.3121,23,26,0.07200402567247433
27,23,8000.6387,23,27,0.09027366988587426
28,23,7870.0,23,28,0.10512816708018957
29,23,7671.0,23,29,0.12775580300789513
10,24,6287.0,24,10,0.2851258940829926
11,24,6745.0,24,11,0.23304821943530862
12,24,7244.4202,24,12,0.17626078998534955
13,24,7531.316,24,13,0.14363881153515956
14,24,7892.8297,24,14,0.10253227692974365
15,24,8097.9701,24,15,0.07920643630027702
16,24,8329.3255,24,16,0.052899774184152815
17,24,8412.9593,24,17,0.04339004967334614
18,24,8555.6141,24,18,0.027169241242493647
19,24,8576.2204,24,19,0.024826166598186816
20,24,8658.1769,24,20,0.015507162357438098
21,24,8618.941,24,21,0.01996854758606048
22,24,8656.4623,24,22,0.01570212388789871
23,24,8582.2348,24,23,0.024142288942289425
24,24,8572.2553,24,24,0.025277025086714144
25,24,8439.915,24,25,0.04032500562421826
26,24,8354.0268,24,26,0.05009107054927342
27,24,8193.2549,24,27,0.06837191487392402
28,24,8083.8977,24,28,0.08080656265117658
29,24,7891.0,24,29,0.10274032610289408
30,24,7742.0,24,30,0.11968262637037208
11,25,6557.0,25,11,0.2544250815177641
12,25,7055.1115,25,12,0.19778646004337574
13,25,7370.0,25,13,0.16198152368246477
14,25,7730.9793,25,14,0.12093575394458544
15,25,7981.4177,25,15,0.09245922662037898
16,25,8229.6358,25,16,0.06423516231150062
17,25,8345.8864,25,17,0.0510166886774438
18,25,8488.2382,25,18,0.0348303333806923
19,25,8546.7023,25,19,0.02818257272922997
20,25,8630.5467,25,20,0.0186489015846224
21,25,8622.0215,25,21,0.01961827405603378
22,25,8661.2325,25,22,0.015159720124570342
23,25,8623.0686,25,23,0.01949921175663738
24,25,8613.2777,25,24,0.02061250281495175
25,25,8532.6823,25,25,0.029776740848357797
26,25,8460.4977,25,26,0.03798461445834311
27,25,8325.5606,25,27,0.05332786858869665
28,25,8217.0749,25,28,0.06566342096539168
29,25,8045.0,25,29,0.08522949226939336
30,25,7904.0,25,30,0.10126213883123492
31,25,7707.0,25,31,0.12366236133253128
11,26,6403.0,26,11,0.2719359153512648
12,26,6928.0,26,12,0.21223989091887596
13,26,7260.0,26,13,0.1744892621349653
14,26,7655.8247,26,14,0.12948133649278815
15,26,7906.5513,26,15,0.1009720388938361
16,26,8193.2275,26,16,0.06837503043786575
17,26,8323.8672,26,17,0.05352041953683728
18,26,8493.8411,26,18,0.03419324603727847
19,26,8554.6747,26,19,0.027276057328878167
20,26,8668.9848,26,20,0.014278231571794642
21,26,8665.0958,26,21,0.014720436979447249
22,26,8723.0122,26,22,0.008134953494807196
23,26,8682.9135,26,23,0.012694444875582356
24,26,8701.0188,26,24,0.010635750721000092
25,26,8633.7602,26,25,0.01828350506173959
26,26,8609.6079,26,26,0.021029783711069783
27,26,8477.6578,26,27,0.0360333958890815
28,26,8393.0328,26,28,0.04565582649401656
29,26,8233.997,26,29,0.06373926459387302
30,26,8106.0,26,30,0.07829338276391573
31,26,7916.0,26,31,0.0998976582727803
32,26,7770.0,26,32,0.11649883840064457
11,27,6216.0,27,11,0.29319907072051565
12,27,6734.0,27,12,0.2342989932805587
13,27,7097.0,27,13,0.1930234563873069
14,27,7482.0,27,14,0.14924637180355504
15,27,7765.9122,27,15,0.11696364870288223
16,27,8063.8276,27,16,0.08308866775586332
17,27,8234.4788,27,17,0.06368448069945087
18,27,8419.9526,27,18,0.04259486451589278
19,27,8518.0428,27,19,0.031441350276316005
20,27,8639.3548,27,20,0.017647361484045554
21,27,8656.2097,27,21,0.01573084620365417
22,27,8711.1625,27,22,0.009482343934267057
23,27,8695.9032,27,23,0.011217428783069194
24,27,8711.9923,27,24,0.00938799010364999
25,27,8670.4087,27,25,0.014116324582862716
26,27,8648.7985,27,26,0.01657354939655553
27,27,8569.2199,27,27,0.0256221704439753
28,27,8497.3225,27,28,0.03379738748592809
29,27,8355.9907,27,29,0.04986776193521092
30,27,8231.0,27,30,0.06408004361334696
31,27,8059.0,27,31,0.08363759828452955
32,27,7924.0,27,32,0.09898800456714385
33,27,7735.0,27,33,0.12047857336280388
11,28,6056.0,28,11,0.31139214483324373
12,28,6598.0,28,12,0.24976310627637754
13,28,6980.0,28,13,0.20632714183223932
14,28,7410.0,28,14,0.15743325515428275
15,28,7681.0,28,15,0.1266187358758496
16,28,7996.0154,28,16,0.09079937013303285
17,28,8181.5991,28,17,0.06969725758169354
18,28,8412.3835,28,18,0.04345552199880942
19,28,8514.8795,28,19,0.03180103872219597
20,28,8666.6916,28,20,0.014538983806515304
21,28,8686.2805,28,21,0.012311594372222623
22,28,8755.7227,28,22,0.004415550052529693
23,28,8742.0852,28,23,0.005966225353856824
24,28,8775.9946,28,24,0.002110498933118432
25,28,8734.1798,28,25,0.006865122404424051
26,28,8736.3846,28,26,0.006614421843150642
27,28,8669.6204,28,27,0.014205959584881911
28,28,8642.7811,28,28,0.017257768172592725
29,28,8503.2646,28,29,0.03312173082539527
30,28,8395.9467,28,30,0.04532449650240988
31,28,8232.0,28,31,0.06396633690014242
32,28,8113.0,28,32,0.07749743577148394
33,28,7930.0,28,33,0.0983057642879166
12,29,6425.0,29,12,0.2694343676607647
13,29,6829.0,29,13,0.22349685552612641
14,29,7251.0,29,14,0.17551262255380617
15,29,7552.0,29,15,0.14128690187923654
16,29,7867.0,29,16,0.1054692872198032
17,29,8080.7757,29,17,0.08116155500980127
18,29,8311.425,29,18,0.054935181203871086
19,29,8434.2324,29,19,0.040971155392674485
20,29,8594.85,29,20,0.022707856013871264
21,29,8633.4747,29,21,0.018315968328359467
22,29,8708.9912,29,22,0.009729235320648066
23,29,8714.569,29,23,0.009095002015735876
24,29,8760.2103,29,24,0.0039052798063529126
25,29,8737.9768,29,25,0.0064333780143862596
26,29,8746.5981,29,26,0.005453078327836036
27,29,8694.8386,29,27,0.011338480949946939
28,29,8670.9364,29,28,0.014056321550304562
29,29,8570.9696,29,29,0.02542321780788126
30,29,8473.7802,29,30,0.03647430504020366
31,29,8327.0,29,31,0.053164199145710134
32,29,8215.0,29,32,0.06589935102461975
33,29,8049.0,29,33,0.08477466541657508
34,29,7917.0,29,34,0.09978395155957576
13,30,6712.0,30,13,0.23680054097105874
14,30,7156.0,30,14,0.18631476030823846
15,30,7456.0,30,15,0.15220274634687336
16,30,7785.0,30,16,0.11479323770257632
17,30,7992.0,30,17,0.09125594806923443
18,30,8243.6656,30,18,0.06263987986658337
19,30,8372.2753,30,19,0.04801609359336023
20,30,8550.1639,30,20,0.02778896557080124
21,30,8597.2213,30,21,0.022438223284849457
22,30,8691.8193,30,22,0.011681795629125413
23,30,8710.1425,30,23,0.009598324781735723
24,30,8777.9672,30,24,0.0018862010706511834
25,30,8765.0247,30,25,0.003357850206300972
26,30,8790.3563,30,26,0.00047747723008861875
27,30,8741.8845,30,27,0.005989046291196898
28,30,8732.0621,30,28,0.0071059191109773545
29,30,8642.0027,30,29,0.017346277478151206
30,30,8583.0524,30,30,0.024049322333573264
31,30,8446.4313,30,31,0.03958405856896352
32,30,8347.0,30,32,0.05089006488161918
33,30,8193.0,30,33,0.0684008987151199
34,30,8075.0,30,34,0.08181829087325676
35,30,7904.0,30,35,0.10126213883123492
14,31,7004.0,31,14,0.2035981807153301
15,31,7320.0,31,15,0.1676668593426922
16,31,7652.0,31,16,0.12991623055878154
17,31,7883.0,31,17,0.10364997980853041
18,31,8132.0,31,18,0.07533700822059741
19,31,8288.5833,31,19,0.05753243583487533
20,31,8476.9135,31,20,0.03611802779571971
21,31,8534.6695,31,21,0.029550782867877823
22,31,8631.1256,31,22,0.018583076768348472
23,31,8662.1382,31,23,0.01505673595442103
24,31,8731.9362,31,24,0.0071202347861697435
25,31,8738.3358,31,25,0.006392557304345847
26,31,8770.2829,31,26,0.0027599575669288168
27,31,8738.9719,31,27,0.006320228464076427
28,31,8736.5912,31,28,0.00659093003620248
29,31,8665.6047,31,29,0.014662571633097365
30,31,8610.3098,31,30,0.02094997296907153
31,31,8518.6449,31,31,0.03137288746429545
32,31,8418.7167,31,32,0.04273539464274223
33,31,8286.0,31,33,0.057826174387096696
34,31,8170.0,31,34,0.07101615311882448
35,31,8014.0,31,35,0.08875440037873439
36,31,7883.0,31,36,0.10364997980853041
15,32,7209.0,32,15,0.18028830450839728
16,32,7552.0,32,16,0.14128690187923654
17,32,7785.0,32,17,0.11479323770257632
18,32,8054.0,32,18,0.08420613185055237
19,32,8221.335,32,19,0.06517901899646905
20,32,8429.3821,32,20,0.04152266706373042
21,32,8492.8325,32,21,0.034307930628216465
22,32,8599.6917,32,22,0.022157322220549003
23,32,8637.3391,32,23,0.017876560105852035
24,32,8723.2609,32,24,0.00810667463523329
25,32,8736.7146,32,25,0.006576898627793204
26,32,8792.2534,32,26,0.0002617642244683305
27,32,8768.0379,32,27,0.003015229138073061
28,32,8780.7769,32,28,0.001566719318560228
29,32,8715.5148,32,29,0.0089874582063868
30,32,8679.3451,32,30,0.013100195910981549
31,32,8583.9267,32,31,0.023949908554218635
32,32,8528.8243,32,32,0.030215421347901006
33,32,8396.2351,32,33,0.04529170348632183
34,32,8300.0,32,34,0.056234280402232995
35,32,8148.0,32,35,0.07351770080932463
36,32,8034.0,32,36,0.08648026611464332
16,33,7400.0,33,16,0.15857032228632817
17,33,7651.0,33,17,0.13002993727198608
18,33,7922.0,33,18,0.09921541799355293
19,33,8115.0303,33,19,0.07726657703166462
20,33,8330.5778,33,20,0.05275737926720703
21,33,8404.8115,33,21,0.044316509231194345
22,33,8518.9696,33,22,0.0313359668945179
23,33,8574.7006,33,23,0.02499897806091511
24,33,8663.3998,33,24,0.014913283565042179
25,33,8696.6438,33,25,0.011133217591270061
26,33,8754.7746,33,26,0.00452335538731885
27,33,8746.7692,33,27,0.005433623109206587
28,33,8765.0281,33,28,0.0033574636034761074
29,33,8718.0839,33,29,0.008695334289493206
30,33,8686.2866,33,30,0.012310900761272281
31,33,8611.6317,33,31,0.020799664064886536
32,33,8555.0584,33,32,0.027232428063021508
33,33,8468.4034,33,33,0.037085683295761895
34,33,8369.5344,33,34,0.04832775232358244
35,33,8239.0,33,35,0.06317038990771051
36,33,8129.0,33,36,0.07567812836021104
17,34,7530.0,34,17,0.1437884495697367
18,34,7827.0,34,18,0.11001755574798522
19,34,8022.8488,34,19,0.08774823241493002
20,34,8247.4967,34,20,0.06220425807762553
21,34,8333.3694,34,21,0.052439955606625066
22,34,8467.9495,34,22,0.0371372947728853
23,34,8535.1967,34,23,0.029490836688676247
24,34,8643.9987,34,24,0.017119318878594858
25,34,8680.9224,34,25,0.012920846312244105
26,34,8755.8539,34,26,0.00440063173175731
27,34,8756.151,34,27,0.004366849467264178
28,34,8794.5555,34,28,0.0
29,34,8752.1404,34,29,0.004822881611242336
30,34,8735.9057,34,30,0.006668875988104395
31,34,8662.1601,34,31,0.015054245777401887
32,34,8625.4383,34,32,0.0192297609583566
33,34,8530.5685,34,33,0.03001709409872977
34,34,8477.0482,34,34,0.03610271150145117
35,34,8344.9026,34,35,0.05112855334189437
36,34,8256.0,34,36,0.06123737578323318
37,34,8118.0,34,37,0.07692890220546111
17,35,7386.0,35,17,0.16016221627119187
18,35,7677.0,35,18,0.12707356272866777
19,35,7891.0,35,19,0.10274032610289408
20,35,8125.926,35,20,0.07602766279660178
21,35,8233.5781,35,21,0.06378689633603418
22,35,8372.9008,35,22,0.0479449700442508
23,35,8458.156,35,23,0.038250881468654074
24,35,8568.5995,35,24,0.025692714088847324
25,35,8628.1392,35,25,0.01892265049666253
26,35,8703.7686,35,26,0.010323080001030327
27,35,8721.3347,35,27,0.008325696506207847
28,35,8763.4955,35,28,0.003531730512133291
29,35,8739.0736,35,29,0.006308664491343596
30,35,8724.266,35,30,0.007992388017791341
31,35,8669.3631,35,31,0.01423521632218927
32,35,8633.0884,35,32,0.01835989323167042
33,35,8557.7457,35,33,0.026926864012627005
34,35,8503.7082,35,34,0.033071290527417974
35,35,8414.7964,35,35,0.04318115907051823
36,35,8327.131,35,36,0.05314930356628045
37,35,8202.0,35,37,0.0673775382962789
38,35,8102.0,35,38,0.0787482096167339
18,36,7578.0,36,18,0.13833052733591822
19,36,7792.0,36,19,0.11399729071014453
20,36,8033.1654,36,20,0.08657516573748392
21,36,8158.1666,36,21,0.07236169013885929
22,36,8307.629,36,22,0.05536681188719539
23,36,8403.8034,36,23,0.04443113696877565
24,36,8540.1876,36,24,0.02892333785374379
